P_NR	SURVEY	SP	PURPOSE	AGE	TRAIN_AV	CAR_AV	SM_AV	TRAIN_TT	TRAIN_CO	GA	TRAIN_FR	SM_TT	SM_CO	SM_FR	SM_SEATS	CAR_TT	CAR_CO	GROUP	CHOICE
1	0	1	1	2	1	1	1	164	100	0	30	123	100	10	0	182	110	2	2
1	0	1	1	2	1	1	1	214	75	0	60	126	100	20	0	140	110	2	2
1	0	1	1	2	1	1	1	181	75	0	120	123	133	10	0	140	68	2	3
1	0	1	1	2	1	1	1	164	75	0	30	130	108	30	0	140	85	2	1
1	0	1	1	5	1	0	1	137	3780	1	120	70	5460	20	1	0	0	2	1
1	0	1	1	5	1	0	1	110	4200	1	120	63	5460	20	0	0	0	2	1
2	0	1	1	4	1	1	1	122	5040	1	30	74	5040	10	0	117	84	2	2
2	0	1	1	3	1	0	1	210	88	0	120	74	108	20	1	0	0	2	2
2	0	1	1	4	1	1	1	152	3780	1	60	77	5040	20	0	90	84	2	2
2	0	1	1	4	1	1	1	132	3780	1	120	74	6720	10	0	90	52	2	1
2	0	1	1	4	1	1	1	122	3780	1	30	81	5460	30	0	90	65	2	1
2	0	1	1	3	1	0	1	164	98	0	120	60	116	20	0	0	0	2	2
2	0	1	1	4	1	1	1	158	75	0	120	60	100	30	0	182	64	2	2
3	0	1	1	5	1	0	1	221	3120	1	30	107	3120	10	0	0	0	2	1
3	0	1	1	1	1	0	1	107	38	0	120	38	52	10	1	0	0	2	1
3	0	1	1	5	1	0	1	290	2340	1	60	115	3120	20	0	0	0	2	1
3	0	1	1	5	1	0	1	244	2340	1	120	107	4160	10	0	0	0	2	1
3	0	1	1	5	1	0	1	221	2340	1	30	125	3380	30	0	0	0	2	1
4	0	1	1	2	1	0	1	121	2340	1	120	56	3380	20	1	0	0	2	2
4	0	1	1	2	1	0	1	100	2600	1	120	49	3380	20	0	0	0	2	2
4	0	1	1	3	1	1	1	87	2340	1	120	39	3120	30	0	104	40	2	3
4	0	1	1	5	1	0	1	80	3120	1	30	31	3120	10	0	0	0	2	1
4	0	1	1	3	1	1	1	94	2600	1	120	43	3120	30	0	64	65	2	3
4	0	1	1	3	1	1	1	87	2600	1	60	43	3120	20	1	104	50	2	3
4	0	1	1	4	1	0	1	129	23	0	120	103	32	10	0	0	0	2	2
4	0	1	1	3	1	1	1	87	2600	1	120	36	3380	20	0	80	65	2	3
5	0	1	1	3	1	1	1	111	83	0	120	44	133	10	1	78	45	2	3
5	0	1	1	1	1	1	1	132	21	0	30	54	28	20	0	117	25	2	2
5	0	1	1	3	1	1	1	97	83	0	30	41	108	30	1	78	28	2	3
5	0	1	1	3	1	1	1	97	75	0	30	44	100	10	1	48	35	2	3
5	0	1	1	3	1	1	1	111	100	0	30	44	108	30	0	48	45	2	3
5	0	1	1	1	1	1	1	132	28	0	30	57	31	30	0	72	32	2	2
5	0	1	1	1	1	0	1	131	26	0	120	59	38	10	1	0	0	2	2
5	0	1	1	3	1	1	1	75	26	0	120	49	34	10	0	80	28	2	2
6	0	1	1	4	1	1	1	167	5040	1	30	66	5040	10	0	182	117	2	2
6	0	1	1	4	1	1	1	133	163	0	60	123	196	20	1	117	50	2	3
7	0	1	1	4	1	0	1	111	5040	1	60	48	6720	30	0	0	0	2	2
7	0	1	1	3	1	1	1	126	3780	1	120	63	5460	20	1	80	120	2	2
7	0	1	1	3	1	1	1	105	4200	1	120	56	5460	20	0	100	195	2	2
7	0	1	1	3	1	1	1	151	67	0	120	110	76	30	0	195	64	2	2
7	0	1	1	5	1	1	1	111	73	0	60	44	81	20	0	180	130	2	1
7	0	1	1	5	1	1	1	97	73	0	120	41	88	10	0	180	80	2	1
7	0	1	1	5	1	1	1	90	73	0	30	48	81	30	0	180	100	2	1
8	0	1	1	3	1	1	1	141	50	0	60	71	74	30	0	78	28	2	1
8	0	1	1	2	1	1	1	116	54	0	60	53	83	30	0	78	40	2	1
8	0	1	1	2	1	1	1	95	40	0	30	53	52	30	0	60	50	2	1
8	0	1	1	5	1	0	1	92	2900	1	120	41	3480	30	0	0	0	2	1
8	0	1	1	5	1	0	1	85	2900	1	60	41	3480	20	1	0	0	2	1
8	0	1	1	5	1	0	1	85	2900	1	120	34	3770	20	0	0	0	2	1
9	0	1	1	3	1	1	1	210	89	0	60	66	106	20	0	140	117	2	2
9	0	1	1	3	1	1	1	179	89	0	120	60	128	10	0	140	72	2	2
9	0	1	1	3	1	1	1	164	89	0	30	74	111	30	0	140	90	2	3
9	0	1	1	2	1	0	1	133	2340	1	120	88	3120	30	0	0	0	2	1
